neg,neu,pos,compound,text
0.1,0.725,0.174,0.6671,"Missed a few books! I have also read Crushing It, Buffetology, and Good to Great! Currently reading ""Thus Spoke Zarathusra"" and ""Meditations"" (Nietzsche and Aurelius). Full list on http://bit.ly/jfbooklist! What books have you guys been reading? Always looking for recommendations!"
0.0,0.774,0.226,0.8346,I’m reading The Power of Habit right now and I love it! It’s all about how habits form and how to change them at a personal and business level. Highly recommend!!
0.176,0.682,0.142,-0.1531,The emotion of your delivery of information about books made me cry. Thank you.
0.0,0.706,0.294,0.8225,Please Im from a francophone contry but i just finished my bacalaureat and i want to start reading I wish you to advice me some books to read in inglish please
0.0,0.413,0.587,0.908,you are truly a great content creator. Keep up the awesome work!
0.0,1.0,0.0,0.0,You should read 12 Rules for Life by JBP
0.2,0.8,0.0,-0.6705,Decent list. I did something similar until I realized that I was wasting my time. Reading is useless without implementation (obviously this only applies to self-help books).
0.0,0.873,0.127,0.9366,"Hey John, a book I think you would love is Walden by Henry David Thoreau. It has a lot of old English, so it'll be a small challenge (probably not for you, though, lol.) It's recommend in the back of The 4 Hour Work Week, which is how I found out about it. Essentially, it is an autobiography of Thoreau who decides that during his busy life he was going to take a break and build a cabin off of Walden Pond. There, he lives off of nature, and writes about his life and philosophies of simple living and the materialistic world he lived in (lessons that can be applied even more so today). Its definitely an awesome read!"
0.144,0.793,0.063,-0.5023,"i like your videos, but i think the camera is a little close to your face, i don't mean to be rude or anything, it's just my opinion"
0.0,0.741,0.259,0.7941,Thinking about creating some ASMR audio books. Would anybody be interested in listening to the books from John's list in this format? Before bed perhaps? lol
0.0,0.796,0.204,0.431,I have a friend just like you and shes a freshman becoming a sophomore in high school but she reads alot 😂
0.0,1.0,0.0,0.0,Hey John waiting for your next video
0.0,0.685,0.315,0.9196,how did you create your growth book. like what company did you go through that allowed you to edit and create the inside pages because I've wanted to create my own personal design but can't find a company that creates it. PLEASE HELP!!!!!
0.0,0.707,0.293,0.7003,"Non-abridged version of Arabian Nights has some good poetry. Also, better than harry potter and LOTR."
0.136,0.581,0.284,0.5187,"Hey, John, have you read War & Peace? Is it better than Anna Karenina. If yes, why is it better. Have read War & Peace but not the other one..."
0.088,0.767,0.146,0.264,"Where is John now?? I miss you too much man, please comeback already it's been two weeks."
0.0,0.762,0.238,0.7627,"Hey!! Have you red ""the power of habit"" book by Charles Duhigg. If not then give it a shot, I hope you will like it!!"
0.0,0.859,0.141,0.3182,"If anyone wants to learn Chinese, please contact me. Oh, I'm learning English and Japanese"
0.023,0.837,0.139,0.8611,"Hey John, I'm pretty curious how you manage to read all these books while still in school. I'm finishing my last semester of school in the fall for a Cybersecurity degree and I barely have time to read. I take about 22 credits a semester (signed off by an instructor). Since you are at Harvard, I would assume that your CS program is rigorous. How do you have time to read for leisure on top of reading for school? Do you feel like you're burning yourself out?"
0.0,0.827,0.173,0.8074,I think you should read this book called the lessons of history by will and Ariel Durant you don’t even have have to be a history buff to enjoy the book it’s a bit over 100 Pgs and a great read
0.0,0.351,0.649,0.5719,Jesus loves you.
0.0,1.0,0.0,0.0,WHERE ARE YOU!!!!!!:(
0.0,0.485,0.515,0.8173,Wow. I really want to be friends with you. You are incredible.
0.0,0.351,0.649,0.8122,Awesome pronunciation of Mihaly Csikszentmihalyi! :)
0.0,0.543,0.457,0.8955,"Most important book is the Bible. Jesus Christ will save you, repent and believe. Please, i love you man"
0.0,0.312,0.688,0.765,Another great video. Thank you.
0.0,0.717,0.283,0.7269,"You are the best youtuber bro :). You are smart but you sometimes need to do artistic activities  yoga, fitness, art..."
0.0,0.843,0.157,0.3818,I was just wondering if anyone knows when the Growth Books will be back in stock?
0.0,0.869,0.131,0.6808,"Hi John. I'm impressed by your time management skills. Could you do a video showing us how you get so much done? I know it's probably basic stuff for you, but I think it would help a lot of people out (myself included)."
0.198,0.541,0.261,0.1759,"John, you still alive? Missing your videos man!"
0.0,1.0,0.0,0.0,Will read Sapiens and Flow soon
0.0,1.0,0.0,0.0,What camera are you using?
0.0,0.866,0.134,0.7701,"Hi John. I really like your videos, i learned a lot from it, so i want to ask you what do you think about of people that are very addicted to games? And what they can do to get rid of it at the point that they won´t want to play games  anymore.Sorry if i you didn't understand it all of it. I'm from Argentina."
0.0,0.762,0.238,0.8537,"John, is there any way I can buy the books in your book list in another language without making you lose your commission ? Love your content, you've gained a new sub! Keep it up bud"
0.0,1.0,0.0,0.0,waiting for your next video
0.0,0.754,0.246,0.8172,Hi John. Love your content! I was wondering if you could help me out since I’m in a 2 week vacation and want to do something in the meantime. I’m a Brazilian student. X
0.238,0.762,0.0,-0.2924,We miss u! Havent seen you for 2 weeks!
0.08,0.778,0.142,0.4019,"Whenever it comes to success story books like Shoe Dog I keep thinking: ""Is a person that earns millions over billions while workers in their outsourced factories suffer immense hardships really a moral and rightful guide for finding my way?"""
0.0,1.0,0.0,0.0,You remind me of Dan from GossipGirl😃
0.0,0.722,0.278,0.955,"I am on the same challenge and i can confirm, reading regularly has been about the best habits in my life! so much knowledge to be gained! so many people to be learned from! i even made a  video where i talk about the four ways reading has changed my life for the better! thanks for the inspiration, John! 🔥"
0.24,0.76,0.0,-0.2244,Where are you? I miss your weekly videos!
